prime_minister_candidate_name,county,num,total_vote_count,offline_vote_count,online_vote_count
Jakab Péter,Vas,1,744,632,112
Fekete-Győr András,Vas,1,225,167,58
Dobrev Klára,Vas,2,1081,951,130
Karácsony Gergely,Vas,2,778,536,242
Márki-Zay Péter,Vas,2,609,343,266
Jakab Péter,Vas,2,476,369,107
Fekete-Győr András,Vas,2,82,42,40
Márki-Zay Péter,Vas,3,988,768,220
Dobrev Klára,Vas,3,983,841,142
Karácsony Gergely,Vas,3,589,392,197
Jakab Péter,Vas,3,485,366,119
Fekete-Győr András,Vas,3,107,68,39
Dobrev Klára,Veszprém,1,2046,1882,164
Karácsony Gergely,Veszprém,1,1612,1263,349
Márki-Zay Péter,Veszprém,1,1224,816,408
Jakab Péter,Veszprém,1,657,520,137
Fekete-Győr András,Veszprém,1,219,138,81
Dobrev Klára,Veszprém,2,2026,1811,215
Karácsony Gergely,Veszprém,2,1231,832,399
Márki-Zay Péter,Veszprém,2,1011,635,376
Jakab Péter,Veszprém,2,733,573,160
Fekete-Győr András,Veszprém,2,167,97,70
Dobrev Klára,Veszprém,3,1475,1273,202
Jakab Péter,Veszprém,3,783,598,185
Karácsony Gergely,Veszprém,3,755,492,263
Márki-Zay Péter,Veszprém,3,676,330,346
Fekete-Győr András,Veszprém,3,103,59,44
Dobrev Klára,Veszprém,4,1449,1278,171
Jakab Péter,Veszprém,4,724,603,121
Karácsony Gergely,Veszprém,4,577,405,172
Márki-Zay Péter,Veszprém,4,515,298,217
Fekete-Győr András,Veszprém,4,87,54,33
Dobrev Klára,Zala,1,1852,1694,158
Márki-Zay Péter,Zala,1,1090,714,376
Karácsony Gergely,Zala,1,1045,743,302
Jakab Péter,Zala,1,635,526,109
